Country,State,MAE,MAPE,pred2023,CVRMSE,MEDAE,MSE,R2,RMSE,data2019,pred2019
China,Alabama,50.44150360309746,0.32754223118894454,[210.14848743],32.75422311889445,50.44150360309746,2544.345285741294,,50.44150360309746,[154],[204.4415036]
China,Alaska,2.493664953548535,0.07556560465298591,[3.38685905],7.556560465298591,2.493664953548535,6.218364900556218,,2.493664953548535,[33],[30.50633505]
China,Arizona,24.387745985657887,0.04897137748124074,[418.00510907],4.897137748124074,24.387745985657887,594.7621542609724,,24.387745985657887,[498],[473.61225401]
China,Arkansas,5.567291445998791,0.06326467552271353,[92.49447216],6.326467552271353,5.567291445998791,30.994734044691306,,5.567291445998791,[88],[93.56729145]
China,California,531.0821861413933,0.02458258591656144,[23722.09175404],2.458258591656144,531.0821861413933,282048.28843672154,,531.0821861413933,[21604],[22135.08218614]
China,Colorado,20.010340482142794,0.038779729616555805,[384.07881371],3.8779729616555807,20.010340482142794,400.4137262112827,,20.010340482142794,[516],[495.98965952]
China,Connecticut,8.03267317916243,0.02043937195715631,[190.35703845],2.043937195715631,8.03267317916243,64.52383840323546,,8.03267317916243,[393],[401.03267318]
China,Delaware,40.02114747244978,0.27041315859763365,[60.15387872],27.041315859763365,40.02114747244978,1601.6922450115737,,40.02114747244978,[148],[107.97885253]
China,District of Columbia,51.66946388302233,0.5939018837129003,[162.72014293],59.39018837129003,51.66946388302233,2669.733497958949,,51.66946388302233,[87],[138.66946388]
China,Florida,120.15657475899116,0.06998053276586555,[1498.94882561],6.998053276586555,120.15657475899116,14437.602457813031,,120.15657475899116,[1717],[1596.84342524]
China,Georgia,12.276627414673612,0.012501657245085144,[998.92676048],1.2501657245085145,12.276627414673612,150.7155806787157,,12.276627414673612,[982],[969.72337259]
China,Hawaii,135.61458321792827,0.2302454723564147,[93.95081472],23.02454723564147,135.61458321792827,18391.315181372393,,135.61458321792827,[589],[453.38541678]
China,Idaho,7.959905830084352,0.06861987784555476,[93.25525523],6.861987784555476,7.959905830084352,63.36010082381086,,7.959905830084352,[116],[108.04009417]
China,Illinois,67.97873057245147,0.03447197290692265,[1899.04828423],3.447197290692265,67.97873057245147,4621.107810241948,,67.97873057245147,[1972],[1904.02126943]
China,Indiana,59.55297002219851,0.15671834216368027,[430.7048001],15.671834216368028,59.55297002219851,3546.5562384648742,,59.55297002219851,[380],[439.55297002]
China,Iowa,16.688308707284676,0.09816652180755692,[285.63678582],9.816652180755693,16.688308707284676,278.4996475096335,,16.688308707284676,[170],[186.68830871]
China,Kansas,21.05786532153499,0.12534443643770826,[75.22365172],12.534443643770826,21.05786532153499,443.43369189990597,,21.05786532153499,[168],[189.05786532]
China,Kentucky,28.291316766733672,0.18370984913463423,[21.05679051],18.370984913463424,28.291316766733672,800.3986043956658,,28.291316766733672,[154],[182.29131677]
China,Louisiana,2.772289645214272,0.015149123744340284,[191.64914672],1.5149123744340285,2.772289645214272,7.685589876962275,,2.772289645214272,[183],[185.77228965]
China,Maine,10.12460232584636,0.21541707076268854,[7.55691116],21.541707076268853,10.12460232584636,102.50757225653354,,10.12460232584636,[47],[57.12460233]
China,Maryland,126.31491592843827,0.11109491286582082,[1588.20852827],11.109491286582083,126.31491592843827,15955.457986008427,,126.31491592843827,[1137],[1263.31491593]
China,Massachusetts,141.8423771464677,0.0668752367498669,[2478.01599995],6.687523674986689,141.8423771464677,20119.25995456078,,141.8423771464677,[2121],[2262.84237715]
China,Michigan,63.21763392250364,0.0828540418381437,[7548.77681549],8.28540418381437,63.21763392250364,3996.4692387596824,,63.21763392250364,[763],[699.78236608]
China,Minnesota,45.76050107070898,0.09613550645106929,[30.53508865],9.61355064510693,45.76050107070898,2094.023458242358,,45.76050107070898,[476],[430.23949893]
China,Mississippi,10.915320562895815,0.139940007216613,[122.53054039],13.994000721661301,10.915320562895815,119.1442229907762,,10.915320562895815,[78],[88.91532056]
China,Missouri,32.8956424368061,0.09087194043316602,[314.52757495],9.087194043316602,32.8956424368061,1082.1232913301983,,32.8956424368061,[362],[329.10435756]
China,Montana,26.388350522417376,1.055534020896695,[59.94686892],105.5534020896695,26.388350522417376,696.3450432939654,,26.388350522417376,[25],[51.38835052]
China,Nebraska,12.616564389796125,0.12491647910689233,[110.32154922],12.491647910689233,12.616564389796125,159.17769700187165,,12.616564389796125,[101],[113.61656439]
China,Nevada,17.30641744107527,0.025869084366330744,[1834.75035074],2.5869084366330743,17.30641744107527,299.5120846447542,,17.30641744107527,[669],[651.69358256]
China,New Hampshire,8.776700784451819,0.11548290505857657,[30.94065371],11.548290505857658,8.776700784451819,77.03047665979717,,8.776700784451819,[76],[84.77670078]
China,New Jersey,253.55571401344196,0.1298953452937715,[3003.81164391],12.989534529377151,253.55571401344196,64290.50010886636,,253.55571401344196,[1952],[2205.55571401]
China,New Mexico,12.588025637703652,0.1498574480679006,[212.85022631],14.985744806790061,12.588025637703652,158.45838945548442,,12.588025637703652,[84],[96.58802564]
China,New York,2555.6162784620137,0.20031480470779225,[18567.57104126],20.031480470779226,2555.6162784620137,6531174.562740033,,2555.6162784620137,[12758],[15313.61627846]
China,North Carolina,90.12553233716994,0.13214887439467735,[816.33563254],13.214887439467734,90.12553233716994,8122.611579058265,,90.12553233716994,[682],[772.12553234]
China,North Dakota,3.1996232397781483,0.0864763037777878,[1.13449437],8.64763037777878,3.1996232397781483,10.237588876528415,,3.1996232397781483,[37],[33.80037676]
China,Ohio,77.39559191755131,0.10278299059435765,[988.30570866],10.278299059435765,77.39559191755131,5990.077648268134,,77.39559191755131,[753],[830.39559192]
