State and area,Year,Unemployeement,gdp per capita,Birth Rate
South Dakota,2013,0.036,98687.1489,2.27
Tennessee,2013,0.074,94709.99833,1.85
Texas,2013,0.061,115265.1335,2.07
Utah,2013,0.04,95342.28934,2.34
Vermont,2013,0.043,82111.36559,1.59
Virginia,2013,0.055,105794.8244,1.81
Washington,2013,0.065,118482.8901,1.84
West Virginia,2013,0.067,88504.47101,1.86
Wisconsin,2013,0.064,90440.97028,1.84
Wyoming,2013,0.046,128608.2688,1.99
Alabama,2013,0.072,88363.33497,1.79
Alaska,2013,0.069,152261.7433,2.22
Arizona,2013,0.075,89008.09132,1.97
Arkansas,2013,0.067,83557.64523,1.94
California,2013,0.085,117492.1053,1.84
Colorado,2013,0.062,103430.3458,1.79
Connecticut,2013,0.075,126212.3142,1.63
Delaware,2013,0.061,135389.0346,1.79
District of Columbia,2013,0.081,300517.1256,1.53
Florida,2013,0.071,84143.97724,1.77
Georgia,2013,0.077,96129.17023,1.86
Hawaii,2013,0.047,111340.8472,2.08
Idaho,2013,0.064,77628.60384,2.13
Illinois,2013,0.087,111090.5423,1.79
Indiana,2013,0.067,95839.26976,1.92
Iowa,2013,0.045,94084.48564,2
Kansas,2013,0.05,95294.68563,2.04
Kentucky,2013,0.077,89031.52546,1.95
Louisiana,2013,0.059,108762.3948,1.93
Maine,2013,0.063,75680.26679,1.67
Maryland,2013,0.062,107204.2301,1.79
Massachusetts,2013,0.064,126465.6762,1.6
Michigan,2013,0.084,90385.88881,1.83
Minnesota,2013,0.048,103108.5837,1.94
Mississippi,2013,0.082,80344.40455,1.88
Missouri,2013,0.066,91138.74266,1.88
Montana,2013,0.051,83860.02576,1.97
Nebraska,2013,0.035,103505.1135,2.12
Nevada,2013,0.093,94594.1275,1.86
New Hampshire,2013,0.05,93073.29153,1.6
New Jersey,2013,0.076,116878.5828,1.81
New Mexico,2013,0.069,93510.22667,1.93
New York,2013,0.073,138460.0539,1.73
North Carolina,2013,0.065,96810.38723,1.82
North Dakota,2013,0.028,131372.8071,2.14
Ohio,2013,0.071,97577.17741,1.88
Oklahoma,2013,0.05,98907.66742,2.04
Oregon,2013,0.072,91419.44683,1.73
Pennsylvania,2013,0.067,102692.2521,1.75
Rhode Island,2013,0.093,93199.30268,1.57
South Carolina,2013,0.065,82452.8879,1.8
South Dakota,2013,0.035,98639.30075,2.27
Tennessee,2013,0.073,94883.77667,1.85
Texas,2013,0.06,115163.3074,2.07
Utah,2013,0.04,95202.02544,2.34
Vermont,2013,0.042,82160.99619,1.59
Virginia,2013,0.054,105743.132,1.81
Washington,2013,0.064,118453.4116,1.84
West Virginia,2013,0.067,88544.90369,1.86
Wisconsin,2013,0.063,90501.11802,1.84
Wyoming,2013,0.046,128594.6463,1.99
Alabama,2013,0.072,88376.67891,1.79
Alaska,2013,0.069,152199.7828,2.22
Arizona,2013,0.074,88897.25008,1.97
Arkansas,2013,0.066,83601.41821,1.94
California,2013,0.084,117452.3822,1.84
Colorado,2013,0.061,103261.4801,1.79
Connecticut,2013,0.074,126128.8921,1.63
Delaware,2013,0.061,135156.3359,1.79
District of Columbia,2013,0.08,300242.4233,1.53
Florida,2013,0.07,84008.14079,1.77
Georgia,2013,0.076,96084.21705,1.86
Hawaii,2013,0.046,111058.7205,2.08
Idaho,2013,0.06,77783.36549,2.13
Illinois,2013,0.086,111069.9132,1.79
Indiana,2013,0.065,95795.79673,1.92
Iowa,2013,0.045,94065.49889,2
Kansas,2013,0.049,95227.38925,2.04
Kentucky,2013,0.076,89232.25393,1.95
Louisiana,2013,0.057,108703.8633,1.93
Maine,2013,0.062,75770.95834,1.67
Maryland,2013,0.061,107235.1482,1.79
Massachusetts,2013,0.063,126306.3635,1.6
Michigan,2013,0.082,90344.1014,1.83
Minnesota,2013,0.047,103057.0337,1.94
Mississippi,2013,0.081,80426.32738,1.88
Missouri,2013,0.066,90993.23712,1.88
Montana,2013,0.05,83837.77287,1.97
Nebraska,2013,0.035,103435.5667,2.12
Nevada,2013,0.091,94533.80916,1.86
New Hampshire,2013,0.049,93113.31118,1.6
New Jersey,2013,0.075,117012.3877,1.81
New Mexico,2013,0.068,93486.47375,1.93
New York,2013,0.071,138711.5394,1.73
North Carolina,2013,0.064,96776.0664,1.82
North Dakota,2013,0.028,131264.5646,2.14
Ohio,2013,0.069,97639.83588,1.88
Oklahoma,2013,0.05,98967.21475,2.04
Oregon,2013,0.072,91241.98545,1.73
Pennsylvania,2013,0.066,102710.8089,1.75
Rhode Island,2013,0.091,93233.11512,1.57
South Carolina,2013,0.063,82451.15901,1.8
South Dakota,2013,0.035,98537.58487,2.27
Tennessee,2013,0.071,95017.61367,1.85
Texas,2013,0.058,115021.9492,2.07
Utah,2013,0.039,95051.04125,2.34
Vermont,2013,0.041,82196.78624,1.59
Virginia,2013,0.054,105641.0418,1.81
Washington,2013,0.063,118409.7162,1.84
West Virginia,2013,0.067,88520.90621,1.86
Wisconsin,2013,0.061,90517.26524,1.84
Wyoming,2013,0.046,128558.4757,1.99
Alabama,2014,0.072,87667.97893,1.83
Alaska,2014,0.069,148882.5879,2.19
Arizona,2014,0.072,89875.17053,1.97
Arkansas,2014,0.065,84363.38899,1.97
California,2014,0.082,121493.4271,1.84
Colorado,2014,0.06,107482.3907,1.77
Connecticut,2014,0.072,125835.5829,1.63
Delaware,2014,0.06,145427.5707,1.79
District of Columbia,2014,0.079,305905.3499,1.52
Florida,2014,0.069,86208.01145,1.77
Georgia,2014,0.075,99185.0324,1.87
Hawaii,2014,0.046,111483.435,2
Idaho,2014,0.056,80267.22325,2.15
Illinois,2014,0.084,113342.2424,1.81
Indiana,2014,0.064,98675.62644,1.93
Iowa,2014,0.044,98773.59385,2.02
Kansas,2014,0.048,97539.69862,2.05
Kentucky,2014,0.075,89367.85685,1.96
Louisiana,2014,0.056,111869.0834,1.96
Maine,2014,0.061,76995.60151,1.66
Maryland,2014,0.061,108940.4021,1.82
Massachusetts,2014,0.062,127965.796,1.58
Michigan,2014,0.081,91443.25195,1.83
Minnesota,2014,0.047,105917.3741,1.94
Mississippi,2014,0.081,80432.46538,1.89
Missouri,2014,0.066,91313.01485,1.87
Montana,2014,0.05,85533.37978,1.95
Nebraska,2014,0.035,106543.6354,2.16
Nevada,2014,0.089,95307.55682,1.87
New Hampshire,2014,0.048,94658.24525,1.58
New Jersey,2014,0.073,116695.6339,1.81
New Mexico,2014,0.068,95766.79663,1.91
New York,2014,0.07,141444.2608,1.73
North Carolina,2014,0.064,98894.97243,1.83
North Dakota,2014,0.027,143225.7137,2.24
Ohio,2014,0.066,100847.967,1.88
Oklahoma,2014,0.049,105533.427,2.03
Oregon,2014,0.072,93769.1967,1.72
Pennsylvania,2014,0.065,104823.7584,1.76
Rhode Island,2014,0.089,93932.75865,1.56
South Carolina,2014,0.061,84725.51101,1.8
South Dakota,2014,0.035,99966.11809,2.27
Tennessee,2014,0.069,96544.98845,1.87
Texas,2014,0.057,118334.5755,2.09
Utah,2014,0.038,97668.1895,2.33
Vermont,2014,0.041,82889.05581,1.63
Virginia,2014,0.053,105180.1342,1.81
Washington,2014,0.062,122284.7473,1.85
West Virginia,2014,0.067,88435.68547,1.81
Wisconsin,2014,0.06,92449.61893,1.85
Wyoming,2014,0.045,130857.933,1.99
Alabama,2014,0.071,87631.36423,1.83
Alaska,2014,0.069,148732.6155,2.19
Arizona,2014,0.071,89707.42856,1.97
Arkansas,2014,0.063,84374.41005,1.97
California,2014,0.081,121369.1583,1.84
Colorado,2014,0.058,107214.3783,1.77
Connecticut,2014,0.071,125653.6464,1.63
Delaware,2014,0.06,145088.038,1.79
District of Columbia,2014,0.079,305564.2692,1.52
Florida,2014,0.068,86044.3148,1.77
Georgia,2014,0.074,99091.05859,1.87
Hawaii,2014,0.045,111268.1215,2
Idaho,2014,0.052,80404.76604,2.15
Illinois,2014,0.081,113344.6516,1.81
Indiana,2014,0.063,98557.89169,1.93
Iowa,2014,0.044,98584.3592,2.02
Kansas,2014,0.047,97401.31978,2.05
Kentucky,2014,0.073,89497.52278,1.96
Louisiana,2014,0.056,111698.0199,1.96
Maine,2014,0.06,77079.39886,1.66
Maryland,2014,0.06,108913.465,1.82
Massachusetts,2014,0.061,127679.3805,1.58
Michigan,2014,0.08,91355.10013,1.83
Minnesota,2014,0.046,105868.6781,1.94
Mississippi,2014,0.08,80455.17962,1.89
Missouri,2014,0.066,91168.33738,1.87
Montana,2014,0.049,85575.46435,1.95
Nebraska,2014,0.035,106452.8473,2.16
Nevada,2014,0.088,95227.33523,1.87
New Hampshire,2014,0.047,94644.59263,1.58
New Jersey,2014,0.071,116662.0009,1.81
New Mexico,2014,0.067,95758.55268,1.91
New York,2014,0.068,141643.6439,1.73
North Carolina,2014,0.063,98807.33031,1.83
North Dakota,2014,0.027,142941.9476,2.24
Ohio,2014,0.064,100891.7544,1.88
Oklahoma,2014,0.047,105617.777,2.03
Oregon,2014,0.071,93561.94547,1.72
Pennsylvania,2014,0.064,104779.5718,1.76
Rhode Island,2014,0.087,93943.72725,1.56
South Carolina,2014,0.06,84631.40201,1.8
South Dakota,2014,0.034,99838.82063,2.27
Tennessee,2014,0.068,96636.69078,1.87
Texas,2014,0.056,118165.1192,2.09
Utah,2014,0.037,97526.62528,2.33
Vermont,2014,0.04,82919.48445,1.63
Virginia,2014,0.053,105045.8498,1.81
Washington,2014,0.061,122258.3313,1.85
West Virginia,2014,0.067,88392.57293,1.81
Wisconsin,2014,0.059,92441.58377,1.85
Wyoming,2014,0.044,130812.9307,1.99
Alabama,2014,0.071,87609.00588,1.83
Alaska,2014,0.069,148573.575,2.19
Arizona,2014,0.07,89533.42217,1.97
Arkansas,2014,0.062,84378.0419,1.97
California,2014,0.08,121239.6573,1.84
Colorado,2014,0.056,106973.633,1.77
Connecticut,2014,0.069,125465.0912,1.63
Delaware,2014,0.059,144688.8104,1.79
District of Columbia,2014,0.078,305077.6319,1.52
Florida,2014,0.067,85901.99228,1.77
Georgia,2014,0.074,99013.44617,1.87
Hawaii,2014,0.044,111083.6765,2
Idaho,2014,0.049,80527.72258,2.15
Illinois,2014,0.079,113405.3144,1.81
Indiana,2014,0.062,98414.71776,1.93
Iowa,2014,0.044,98398.46313,2.02
Kansas,2014,0.047,97282.40753,2.05
Kentucky,2014,0.072,89637.88078,1.96
Louisiana,2014,0.057,111445.1473,1.96
Maine,2014,0.059,77155.55644,1.66
Maryland,2014,0.059,108870.6585,1.82
Massachusetts,2014,0.06,127392.0161,1.58
Michigan,2014,0.079,91273.37088,1.83
Minnesota,2014,0.046,105786.2755,1.94
Mississippi,2014,0.079,80482.29862,1.89
Missouri,2014,0.065,91085.95176,1.87
Montana,2014,0.048,85609.39594,1.95
Nebraska,2014,0.034,106420.5204,2.16
Nevada,2014,0.086,95156.24035,1.87
New Hampshire,2014,0.046,94616.15168,1.58
New Jersey,2014,0.07,116583.9638,1.81
New Mexico,2014,0.067,95750.1041,1.91
New York,2014,0.067,141818.8574,1.73
North Carolina,2014,0.063,98704.0338,1.83
North Dakota,2014,0.026,142567.4476,2.24
Ohio,2014,0.062,100905.9567,1.88
Oklahoma,2014,0.046,105698.8988,2.03
Oregon,2014,0.07,93381.72966,1.72
Pennsylvania,2014,0.063,104758.2135,1.76
Rhode Island,2014,0.085,93948.95933,1.56
South Carolina,2014,0.06,84497.09782,1.8
South Dakota,2014,0.034,99742.89457,2.27
Tennessee,2014,0.068,96719.97943,1.87
Texas,2014,0.055,118003.3844,2.09
Utah,2014,0.037,97399.4571,2.33
Vermont,2014,0.04,82941.60678,1.63
Virginia,2014,0.053,104942.2309,1.81
Washington,2014,0.061,122224.5706,1.85
West Virginia,2014,0.067,88405.42471,1.81
Wisconsin,2014,0.057,92438.33399,1.85
Wyoming,2014,0.044,130772.2822,1.99
Alabama,2014,0.07,87630.91938,1.83
Alaska,2014,0.069,148468.1436,2.19
Arizona,2014,0.069,89370.18216,1.97
Arkansas,2014,0.06,84378.10562,1.97
California,2014,0.078,121130.6943,1.84
Colorado,2014,0.054,106802.9768,1.77
Connecticut,2014,0.068,125280.4293,1.63
Delaware,2014,0.058,144278.6302,1.79
District of Columbia,2014,0.078,304453.3036,1.52
Florida,2014,0.067,85796.10843,1.77
Georgia,2014,0.074,98975.4567,1.87
Hawaii,2014,0.044,110929.9644,2
Idaho,2014,0.046,80640.32972,2.15
Illinois,2014,0.076,113539.1126,1.81
Indiana,2014,0.061,98288.72924,1.93
Iowa,2014,0.043,98256.87852,2.02
Kansas,2014,0.046,97216.4272,2.05
Kentucky,2014,0.07,89834.2338,1.96
Louisiana,2014,0.058,111104.1822,1.96
Maine,2014,0.058,77232.3062,1.66
Maryland,2014,0.059,108830.1526,1.82
Massachusetts,2014,0.059,127155.9429,1.58
Michigan,2014,0.077,91228.27802,1.83
Minnesota,2014,0.045,105683.6214,1.94
Mississippi,2014,0.079,80548.42933,1.89
Missouri,2014,0.064,91071.79968,1.87
Montana,2014,0.047,85614.74721,1.95
Nebraska,2014,0.034,106463.8723,2.16
Nevada,2014,0.085,95104.45714,1.87
New Hampshire,2014,0.045,94602.63866,1.58
New Jersey,2014,0.068,116494.3865,1.81
New Mexico,2014,0.067,95740.00897,1.91
New York,2014,0.065,141987.1459,1.73
North Carolina,2014,0.063,98608.81968,1.83
North Dakota,2014,0.026,142161.3244,2.24
Ohio,2014,0.06,100879.0803,1.88
Oklahoma,2014,0.045,105766.6743,2.03
Oregon,2014,0.069,93242.63277,1.72
Pennsylvania,2014,0.062,104790.4756,1.76
Rhode Island,2014,0.083,93949.97206,1.56
South Carolina,2014,0.06,84333.03739,1.8
South Dakota,2014,0.034,99693.00605,2.27
Tennessee,2014,0.067,96800.41705,1.87
Texas,2014,0.054,117867.054,2.09
Utah,2014,0.036,97288.92304,2.33
Vermont,2014,0.04,82958.74185,1.63
Virginia,2014,0.053,104897.3306,1.81
Washington,2014,0.06,122160.0583,1.85
West Virginia,2014,0.066,88488.4974,1.81
Wisconsin,2014,0.056,92436.40831,1.85
Wyoming,2014,0.044,130735.9794,1.99
Alabama,2014,0.069,87690.00294,1.83
Alaska,2014,0.069,148441.7075,2.19
Arizona,2014,0.069,89210.63974,1.97
Arkansas,2014,0.06,84370.20514,1.97
California,2014,0.077,121039.9321,1.84
Colorado,2014,0.052,106699.4566,1.77
Connecticut,2014,0.067,125098.8324,1.63
Delaware,2014,0.058,143894.0406,1.79
District of Columbia,2014,0.078,303595.5932,1.52
Florida,2014,0.066,85717.43983,1.77
Georgia,2014,0.073,98975.93608,1.87
Hawaii,2014,0.044,110807.568,2
Idaho,2014,0.045,80598.49421,2.15
Illinois,2014,0.074,113710.3899,1.81
Indiana,2014,0.061,98191.32957,1.93
Iowa,2014,0.043,98142.51644,2.02
Kansas,2014,0.046,97202.38378,2.05
Kentucky,2014,0.067,90090.98369,1.96
Louisiana,2014,0.06,110675.3945,1.96
Maine,2014,0.057,77318.72176,1.66
Maryland,2014,0.058,108798.8082,1.82
Massachusetts,2014,0.059,126962.7085,1.58
Michigan,2014,0.075,91223.41096,1.83
Minnesota,2014,0.044,105572.8976,1.94
Mississippi,2014,0.078,80637.61576,1.89
Missouri,2014,0.063,91091.09086,1.87
Montana,2014,0.047,85581.3127,1.95
Nebraska,2014,0.033,106552.7859,2.16
Nevada,2014,0.083,95063.77533,1.87
New Hampshire,2014,0.044,94593.20732,1.58
New Jersey,2014,0.067,116398.797,1.81
New Mexico,2014,0.067,95713.75102,1.91
New York,2014,0.064,142147.9958,1.73
North Carolina,2014,0.062,98522.27175,1.83
North Dakota,2014,0.026,141747.4252,2.24
Ohio,2014,0.059,100797.0506,1.88
Oklahoma,2014,0.044,105782.3908,2.03
Oregon,2014,0.068,93125.43166,1.72
Pennsylvania,2014,0.061,104861.7256,1.76
Rhode Island,2014,0.08,93951.82879,1.56
South Carolina,2014,0.061,84138.76999,1.8
South Dakota,2014,0.034,99665.09027,2.27
Tennessee,2014,0.067,96862.83472,1.87
Texas,2014,0.053,117747.7953,2.09
Utah,2014,0.036,97170.29914,2.33
Vermont,2014,0.04,82962.78867,1.63
Virginia,2014,0.052,104912.3996,1.81
Washington,2014,0.06,122032.606,1.85
West Virginia,2014,0.065,88612.34197,1.81
Wisconsin,2014,0.055,92418.41905,1.85
Wyoming,2014,0.044,130693.6515,1.99
Alabama,2014,0.068,87743.6923,1.83
Alaska,2014,0.069,148470.1776,2.19
Arizona,2014,0.068,89024.90103,1.97
Arkansas,2014,0.059,84332.50712,1.97
California,2014,0.076,120929.1432,1.84
Colorado,2014,0.05,106626.1638,1.77
Connecticut,2014,0.066,124888.1848,1.63
Delaware,2014,0.057,143522.9141,1.79
District of Columbia,2014,0.078,302376.7039,1.52
Florida,2014,0.065,85636.38471,1.77
Georgia,2014,0.073,98982.50194,1.87
Hawaii,2014,0.043,110691.4413,2
Idaho,2014,0.04,80844.71818,2.15
Illinois,2014,0.072,113846.6931,1.81
Indiana,2014,0.06,98114.29624,1.93
Iowa,2014,0.043,98030.61191,2.02
Kansas,2014,0.045,97210.2502,2.05
Kentucky,2014,0.065,90365.08687,1.96
Louisiana,2014,0.062,110166.0436,1.96
Maine,2014,0.056,77403.88954,1.66
Maryland,2014,0.058,108755.4649,1.82
Massachusetts,2014,0.058,126745.936,1.58
Michigan,2014,0.074,91231.13334,1.83
Minnesota,2014,0.043,105446.5437,1.94
Mississippi,2014,0.077,80709.97764,1.89
Missouri,2014,0.062,91088.26578,1.87
Montana,2014,0.047,85513.68774,1.95
Nebraska,2014,0.033,106630.1541,2.16
Nevada,2014,0.082,95000.1633,1.87
New Hampshire,2014,0.043,94550.53494,1.58
New Jersey,2014,0.067,116276.8699,1.81
New Mexico,2014,0.066,95641.1276,1.91
New York,2014,0.063,142275.6101,1.73
North Carolina,2014,0.062,98423.46783,1.83
North Dakota,2014,0.026,141308.6269,2.24
Ohio,2014,0.058,100651.8783,1.88
Oklahoma,2014,0.043,105699.6658,2.03
Oregon,2014,0.067,92992.5363,1.72
Pennsylvania,2014,0.06,104923.1749,1.76
Rhode Island,2014,0.078,93948.28419,1.56
South Carolina,2014,0.062,83902.79222,1.8
South Dakota,2014,0.033,99614.17319,2.27
Tennessee,2014,0.067,96873.52201,1.87
Texas,2014,0.052,117614.6228,2.09
Utah,2014,0.036,97005.02679,2.33
Vermont,2014,0.04,82939.22747,1.63
Virginia,2014,0.052,104961.8654,1.81
Washington,2014,0.059,121813.4806,1.85
West Virginia,2014,0.065,88722.80421,1.81
Wisconsin,2014,0.054,92357.97471,1.85
Wyoming,2014,0.044,130601.3166,1.99
Alabama,2014,0.067,87778.4532,1.83
Alaska,2014,0.068,148565.0209,2.19
Arizona,2014,0.067,88804.29725,1.97
Arkansas,2014,0.058,84253.7812,1.97
California,2014,0.075,120789.5451,1.84
Colorado,2014,0.048,106558.6364,1.77
Connecticut,2014,0.066,124655.4383,1.63
Delaware,2014,0.056,143163.4804,1.79
District of Columbia,2014,0.077,301052.0064,1.52
Florida,2014,0.064,85543.90325,1.77
Georgia,2014,0.072,98986.46272,1.87
Hawaii,2014,0.042,110581.7121,2
Idaho,2014,0.04,80646.68169,2.15
Illinois,2014,0.07,113919.0642,1.81
Indiana,2014,0.059,98061.32813,1.93
Iowa,2014,0.042,97938.93453,2.02
Kansas,2014,0.045,97226.70227,2.05
Kentucky,2014,0.063,90630.04411,1.96
Louisiana,2014,0.064,109621.0088,1.96
Maine,2014,0.055,77484.13406,1.66
Maryland,2014,0.057,108693.8195,1.82
Massachusetts,2014,0.057,126471.0413,1.58
Michigan,2014,0.072,91234.41048,1.83
Minnesota,2014,0.042,105317.1724,1.94
Mississippi,2014,0.076,80753.45714,1.89
Missouri,2014,0.061,91041.37709,1.87
Montana,2014,0.046,85452.00026,1.95
Nebraska,2014,0.032,106670.1981,2.16
Nevada,2014,0.081,94901.60198,1.87
New Hampshire,2014,0.043,94472.042,1.58
New Jersey,2014,0.066,116137.2688,1.81
New Mexico,2014,0.066,95530.34784,1.91
New York,2014,0.062,142361.872,1.73
North Carolina,2014,0.061,98330.50912,1.83
North Dakota,2014,0.026,140857.7724,2.24
Ohio,2014,0.057,100469.3474,1.88
Oklahoma,2014,0.042,105535.6032,2.03
Oregon,2014,0.066,92841.37099,1.72
Pennsylvania,2014,0.058,104952.1665,1.76
Rhode Island,2014,0.076,93948.45298,1.56
South Carolina,2014,0.063,83634.46108,1.8
South Dakota,2014,0.033,99526.18731,2.27
Tennessee,2014,0.066,96835.50513,1.87
Texas,2014,0.052,117477.303,2.09
Utah,2014,0.036,96793.92474,2.33
Vermont,2014,0.04,82906.64464,1.63
Virginia,2014,0.051,105040.107,1.81
Washington,2014,0.059,121513.2691,1.85
West Virginia,2014,0.064,88791.27049,1.81
Wisconsin,2014,0.053,92269.83966,1.85
Wyoming,2014,0.044,130483.714,1.99
Alabama,2014,0.066,87790.70923,1.83
Alaska,2014,0.068,148686.9075,2.19
Arizona,2014,0.067,88540.43416,1.97
Arkansas,2014,0.057,84123.23524,1.97
California,2014,0.074,120613.5929,1.84
Colorado,2014,0.046,106463.4065,1.77
Connecticut,2014,0.065,124434.5238,1.63
Delaware,2014,0.055,142815.5782,1.79
District of Columbia,2014,0.077,299820.4536,1.52
Florida,2014,0.063,85434.675,1.77
Georgia,2014,0.071,98981.73067,1.87
Hawaii,2014,0.041,110476.8489,2
Idaho,2014,0.04,80462.87994,2.15
Illinois,2014,0.068,113931.0241,1.81
Indiana,2014,0.058,97983.55904,1.93
Iowa,2014,0.042,97856.10585,2.02
Kansas,2014,0.044,97236.39405,2.05
Kentucky,2014,0.06,90856.55751,1.96
Louisiana,2014,0.066,109084.9301,1.96
Maine,2014,0.054,77541.17203,1.66
Maryland,2014,0.056,108607.8555,1.82
Massachusetts,2014,0.056,126133.3581,1.58
Michigan,2014,0.07,91211.66701,1.83
Minnesota,2014,0.041,105194.6003,1.94
Mississippi,2014,0.075,80762.82209,1.89
Missouri,2014,0.06,90944.92819,1.87
Montana,2014,0.046,85409.03838,1.95
Nebraska,2014,0.032,106667.7735,2.16
Nevada,2014,0.079,94762.68318,1.87
New Hampshire,2014,0.042,94364.2475,1.58
New Jersey,2014,0.066,115984.4755,1.81
New Mexico,2014,0.066,95398.13902,1.91
New York,2014,0.061,142384.5173,1.73
North Carolina,2014,0.061,98244.17738,1.83
North Dakota,2014,0.026,140394.7768,2.24
Ohio,2014,0.056,100275.0597,1.88
Oklahoma,2014,0.042,105311.5132,2.03
Oregon,2014,0.065,92681.12062,1.72
Pennsylvania,2014,0.057,104923.0762,1.76
Rhode Island,2014,0.074,93938.49575,1.56
South Carolina,2014,0.065,83345.79874,1.8
South Dakota,2014,0.033,99401.329,2.27
Tennessee,2014,0.066,96737.66614,1.87
Texas,2014,0.051,117337.198,2.09
Utah,2014,0.036,96544.87358,2.33
Vermont,2014,0.04,82875.51274,1.63
Virginia,2014,0.051,105123.9699,1.81
Washington,2014,0.059,121157.4805,1.85
West Virginia,2014,0.064,88801.44333,1.81
Wisconsin,2014,0.051,92168.31964,1.85
Wyoming,2014,0.044,130389.9563,1.99
Alabama,2014,0.065,87793.87525,1.83
Alaska,2014,0.067,148813.4895,2.19
Arizona,2014,0.067,88250.42636,1.97
Arkansas,2014,0.057,83960.08431,1.97
California,2014,0.073,120417.7487,1.84
Colorado,2014,0.045,106351.6804,1.77
Connecticut,2014,0.064,124255.6966,1.63
Delaware,2014,0.054,142509.3814,1.79
District of Columbia,2014,0.076,298785.8538,1.52
Florida,2014,0.062,85325.16409,1.77
Georgia,2014,0.07,98976.81148,1.87
Hawaii,2014,0.041,110372.5157,2
Idaho,2014,0.04,80283.42282,2.15
Illinois,2014,0.066,113921.1303,1.81
Indiana,2014,0.058,97858.30856,1.93
Iowa,2014,0.042,97772.61391,2.02
Kansas,2014,0.044,97236.32899,2.05
Kentucky,2014,0.059,91043.85584,1.96
Louisiana,2014,0.067,108626.868,1.96
Maine,2014,0.053,77580.46918,1.66
Maryland,2014,0.056,108513.289,1.82
Massachusetts,2014,0.056,125777.5011,1.58
Michigan,2014,0.068,91180.14764,1.83
Minnesota,2014,0.04,105091.7546,1.94
Mississippi,2014,0.074,80752.0916,1.89
Missouri,2014,0.059,90816.25873,1.87
Montana,2014,0.046,85375.76432,1.95
Nebraska,2014,0.031,106645.2197,2.16
Nevada,2014,0.078,94596.88568,1.87
New Hampshire,2014,0.041,94232.91657,1.58
New Jersey,2014,0.066,115841.7715,1.81
New Mexico,2014,0.065,95264.45995,1.91
New York,2014,0.06,142352.4984,1.73
North Carolina,2014,0.06,98144.86743,1.83
North Dakota,2014,0.026,139964.9785,2.24
Ohio,2014,0.055,100112.8623,1.88
Oklahoma,2014,0.041,105055.9566,2.03
Oregon,2014,0.064,92538.28898,1.72
Pennsylvania,2014,0.056,104836.8214,1.76
Rhode Island,2014,0.073,93915.38287,1.56
South Carolina,2014,0.065,83057.78684,1.8
South Dakota,2014,0.033,99263.59918,2.27
Tennessee,2014,0.065,96586.99575,1.87
Texas,2014,0.05,117209.0115,2.09
Utah,2014,0.036,96277.88058,2.33
Vermont,2014,0.04,82851.05139,1.63
Virginia,2014,0.05,105194.6666,1.81
Washington,2014,0.058,120804.0099,1.85
West Virginia,2014,0.064,88772.16079,1.81
Wisconsin,2014,0.05,92074.24661,1.85
Wyoming,2014,0.044,130361.1679,1.99
Alabama,2014,0.064,87801.30412,1.83
Alaska,2014,0.065,148938.6498,2.19
Arizona,2014,0.066,87993.61373,1.97
Arkansas,2014,0.056,83815.29123,1.97
California,2014,0.072,120254.7922,1.84
Colorado,2014,0.044,106254.2115,1.77
Connecticut,2014,0.063,124132.3196,1.63
Delaware,2014,0.053,142272.7233,1.79
District of Columbia,2014,0.076,298084.5644,1.52
Florida,2014,0.061,85251.94506,1.77
Georgia,2014,0.068,99003.87308,1.87
Hawaii,2014,0.04,110278.1391,2
Idaho,2014,0.04,80105.89462,2.15
Illinois,2014,0.065,113951.9206,1.81
Indiana,2014,0.057,97734.43323,1.93
Iowa,2014,0.041,97704.3301,2.02
Kansas,2014,0.043,97239.51664,2.05
Kentucky,2014,0.057,91209.73457,1.96
Louisiana,2014,0.068,108328.2281,1.96
Maine,2014,0.052,77634.86061,1.66
Maryland,2014,0.055,108440.1781,1.82
Massachusetts,2014,0.055,125491.0216,1.58
Michigan,2014,0.066,91184.58891,1.83
Minnesota,2014,0.04,105028.1136,1.94
Mississippi,2014,0.072,80723.49092,1.89
Missouri,2014,0.058,90695.07308,1.87
Montana,2014,0.045,85349.49613,1.95
Nebraska,2014,0.031,106646.3788,2.16
Nevada,2014,0.077,94450.95055,1.87
New Hampshire,2014,0.041,94092.87111,1.58
New Jersey,2014,0.065,115757.9497,1.81
New Mexico,2014,0.064,95151.70178,1.91
New York,2014,0.059,142311.919,1.73
North Carolina,2014,0.059,98035.77704,1.83
North Dakota,2014,0.026,139636.9295,2.24
Ohio,2014,0.054,100030.6096,1.88
Oklahoma,2014,0.041,104806.8578,2.03
Oregon,2014,0.063,92443.73663,1.72
Pennsylvania,2014,0.056,104744.1543,1.76
Rhode Island,2014,0.071,93893.96722,1.56
South Carolina,2014,0.066,82813.62638,1.8
South Dakota,2014,0.033,99147.94647,2.27
Tennessee,2014,0.064,96439.76623,1.87
Texas,2014,0.049,117136.8194,2.09
Utah,2014,0.036,96027.0318,2.33
Vermont,2014,0.04,82843.21732,1.63
Virginia,2014,0.049,105267.9338,1.81
Washington,2014,0.058,120537.6646,1.85
West Virginia,2014,0.064,88750.82576,1.81
Wisconsin,2014,0.05,92018.90272,1.85
Wyoming,2014,0.043,130421.7672,1.99
Alabama,2014,0.063,87799.63962,1.83
Alaska,2014,0.064,149061.1504,2.19
Arizona,2014,0.065,87810.84274,1.97
