State and area,Year,Unemployeement,gdp per capita,Birth Rate
Minnesota,2011,0.067,99625.61956,1.95
Mississippi,2011,0.098,73098.28399,1.94
Missouri,2011,0.09,88384.83145,1.92
Montana,2011,0.068,83829.19349,1.96
Nebraska,2011,0.045,102548.4316,2.11
Nevada,2011,0.135,96299.51916,1.91
New Hampshire,2011,0.054,91816.70662,1.67
New Jersey,2011,0.094,111492.6588,1.88
New Mexico,2011,0.071,94829.42852,2
New York,2011,0.082,134174.9808,1.79
North Carolina,2011,0.102,95467.5964,1.86
North Dakota,2011,0.034,109998.1035,2.08
Ohio,2011,0.09,93408.00494,1.88
Oklahoma,2011,0.056,94534.97592,2.04
Oregon,2011,0.097,87044.15308,1.76
Pennsylvania,2011,0.076,100104.4073,1.8
Rhode Island,2011,0.11,90831.41148,1.6
South Carolina,2011,0.107,80705.13963,1.84
South Dakota,2011,0.049,96583.96172,2.25
Tennessee,2011,0.094,88627.70566,1.87
Texas,2011,0.081,108926.3842,2.07
Utah,2011,0.077,95182.51573,2.38
Vermont,2011,0.059,80821.82622,1.63
Virginia,2011,0.066,106035.3981,1.85
Washington,2011,0.088,112712.1063,1.89
West Virginia,2011,0.081,87349.67654,1.84
Wisconsin,2011,0.076,88880.4762,1.87
Wyoming,2011,0.063,131599.865,1.98
Alabama,2011,0.099,84947.62027,1.84
Alaska,2011,0.078,152133.5179,2.28
Arizona,2011,0.096,87126.07376,2
Arkansas,2011,0.08,79769.42566,2
California,2011,0.12,112455.2838,1.9
Colorado,2011,0.087,99981.78474,1.85
Connecticut,2011,0.092,124726.161,1.71
Delaware,2011,0.077,142060.8078,1.9
District of Columbia,2011,0.103,318024.1153,1.64
Florida,2011,0.103,83480.82286,1.8
Georgia,2011,0.103,93558.75478,1.93
Hawaii,2011,0.067,106739.1692,2.11
Idaho,2011,0.084,76434.40363,2.15
Illinois,2011,0.096,108640.1564,1.84
Indiana,2011,0.087,94125.92087,1.95
Iowa,2011,0.057,91189.06654,1.97
Kansas,2011,0.065,93195.39803,2.09
Kentucky,2011,0.095,85170.32339,1.94
Louisiana,2011,0.075,113087.5566,1.91
Maine,2011,0.078,77077.28506,1.67
Maryland,2011,0.073,107509.4933,1.85
Massachusetts,2011,0.074,124989.2485,1.67
Michigan,2011,0.1,89222.32885,1.84
Minnesota,2011,0.067,99577.29765,1.95
Mississippi,2011,0.099,73100.72481,1.94
Missouri,2011,0.089,88466.53586,1.92
Montana,2011,0.068,83867.80852,1.96
Nebraska,2011,0.045,102486.758,2.11
Nevada,2011,0.135,96306.61513,1.91
New Hampshire,2011,0.054,91859.65246,1.67
New Jersey,2011,0.094,111502.7491,1.88
New Mexico,2011,0.071,94886.23561,2
New York,2011,0.082,134356.8846,1.79
North Carolina,2011,0.102,95448.45878,1.86
North Dakota,2011,0.034,109918.1471,2.08
Ohio,2011,0.09,93555.07781,1.88
Oklahoma,2011,0.056,94597.93636,2.04
Oregon,2011,0.096,87117.48342,1.76
Pennsylvania,2011,0.076,100141.4146,1.8
Rhode Island,2011,0.11,91042.1819,1.6
South Carolina,2011,0.107,80695.44941,1.84
South Dakota,2011,0.048,96655.95693,2.25
Tennessee,2011,0.093,88615.36758,1.87
Texas,2011,0.081,108772.9418,2.07
Utah,2011,0.077,95172.67789,2.38
Vermont,2011,0.058,80945.16703,1.63
Virginia,2011,0.065,106000.9415,1.85
Washington,2011,0.087,112794.9286,1.89
West Virginia,2011,0.08,87486.08965,1.84
Wisconsin,2011,0.076,88937.00644,1.87
Wyoming,2011,0.062,131730.6418,1.98
Alabama,2011,0.098,85045.97146,1.84
Alaska,2011,0.077,152117.1912,2.28
Arizona,2011,0.096,87205.5355,2
Arkansas,2011,0.08,79818.5064,2
California,2011,0.12,112417.2386,1.9
Colorado,2011,0.087,99925.89244,1.85
Connecticut,2011,0.092,124816.8109,1.71
Delaware,2011,0.077,142028.0989,1.9
District of Columbia,2011,0.104,317946.228,1.64
Florida,2011,0.102,83496.1084,1.8
Georgia,2011,0.103,93457.0478,1.93
Hawaii,2011,0.068,106798.3885,2.11
Idaho,2011,0.083,76422.26483,2.15
Illinois,2011,0.098,108579.3421,1.84
Indiana,2011,0.088,93995.69347,1.95
Iowa,2011,0.057,91307.04849,1.97
Kansas,2011,0.064,93274.05503,2.09
Kentucky,2011,0.095,85246.25549,1.94
Louisiana,2011,0.074,113274.7104,1.91
Maine,2011,0.078,77106.565,1.67
Maryland,2011,0.074,107548.1697,1.85
Massachusetts,2011,0.073,125048.6386,1.67
Michigan,2011,0.101,89110.22825,1.84
Minnesota,2011,0.067,99519.37995,1.95
Mississippi,2011,0.099,73115.15609,1.94
Missouri,2011,0.088,88538.14393,1.92
Montana,2011,0.067,83881.24817,1.96
Nebraska,2011,0.045,102446.7406,2.11
Nevada,2011,0.134,96270.57844,1.91
New Hampshire,2011,0.055,91893.5131,1.67
New Jersey,2011,0.094,111484.3088,1.88
New Mexico,2011,0.071,94899.49697,2
New York,2011,0.082,134492.2193,1.79
North Carolina,2011,0.102,95396.69617,1.86
North Dakota,2011,0.034,109810.9596,2.08
Ohio,2011,0.09,93651.16365,1.88
Oklahoma,2011,0.055,94602.77881,2.04
Oregon,2011,0.096,87158.23706,1.76
Pennsylvania,2011,0.077,100139.6203,1.8
Rhode Island,2011,0.11,91235.91108,1.6
South Carolina,2011,0.107,80661.25637,1.84
South Dakota,2011,0.047,96736.5365,2.25
Tennessee,2011,0.093,88651.88123,1.87
Texas,2011,0.082,108573.5021,2.07
Utah,2011,0.077,95140.91344,2.38
Vermont,2011,0.057,81081.79862,1.63
Virginia,2011,0.065,105948.9195,1.85
Washington,2011,0.086,112840.9169,1.89
West Virginia,2011,0.079,87570.14754,1.84
Wisconsin,2011,0.076,88965.25501,1.87
Wyoming,2011,0.061,131804.4273,1.98
Alabama,2011,0.098,85138.98646,1.84
Alaska,2011,0.077,152003.0026,2.28
Arizona,2011,0.096,87267.45208,2
Arkansas,2011,0.08,79788.05979,2
California,2011,0.12,112316.1588,1.9
Colorado,2011,0.087,99794.57129,1.85
Connecticut,2011,0.091,124846.0767,1.71
Delaware,2011,0.077,141994.1234,1.9
District of Columbia,2011,0.105,317743.5375,1.64
Florida,2011,0.101,83485.40884,1.8
Georgia,2011,0.103,93315.36022,1.93
Hawaii,2011,0.069,106850.8856,2.11
Idaho,2011,0.083,76385.1701,2.15
Illinois,2011,0.099,108445.5816,1.84
Indiana,2011,0.089,93842.49847,1.95
Iowa,2011,0.057,91387.13298,1.97
Kansas,2011,0.064,93312.71593,2.09
Kentucky,2011,0.095,85303.10715,1.94
Louisiana,2011,0.074,113373.0325,1.91
Maine,2011,0.078,77096.06586,1.67
Maryland,2011,0.074,107546.4648,1.85
Massachusetts,2011,0.073,125021.9043,1.67
Michigan,2011,0.102,88994.13219,1.84
Minnesota,2011,0.067,99460.99081,1.95
Mississippi,2011,0.099,73130.02735,1.94
Missouri,2011,0.088,88579.99565,1.92
Montana,2011,0.067,83834.89956,1.96
