Country,State,RMSE,MAPE%,MAE,MSE,CVRMSE%
"China, People's Republic",Alabama,60.470955011476384,21.967937464043512,49.99333333333334,3656.736400000001,23.870113820319624
"China, People's Republic",Alaska,10.791851864562759,18.784966643624475,10.700000000000001,116.46406666666668,16.9505526668525
"China, People's Republic",Arizona,92.59489348770806,14.336839009776103,72.60333333333335,8573.8143,16.574264944100488
"China, People's Republic",Arkansas,10.440072372744748,6.321534442719745,8.62211111111111,108.99511114814815,7.60199444617336
"China, People's Republic",California,4490.760467348487,13.91561787288368,3658.2299999999996,20166929.5751,17.86514089727687
"China, People's Republic",Colorado,64.9799315173539,7.26883341284261,50.076666666666675,4222.391500000002,10.652447789730148
"China, People's Republic",Connecticut,122.98370041052863,18.965880393258587,104.60999999999997,15124.99056666666,20.915595307913033
"China, People's Republic",Delaware,52.42342796880037,23.241631848877162,42.193333333333335,2748.2158000000004,31.266458033081733
"China, People's Republic",District of Columbia,110.7262536033665,52.781373731013936,91.42444444444443,12260.303237037033,67.6535154399388
"China, People's Republic",Florida,279.79197343740935,13.299038154298412,259.00666666666666,78283.54839999997,14.61054691579161
"China, People's Republic",Georgia,182.06865792881547,12.622884469860171,152.32000000000005,33148.996200000016,15.214651080402405
"China, People's Republic",Hawaii,148.01504619463523,25.527285812315036,146.48333333333335,21908.453900000004,24.751679965658067
"China, People's Republic",Idaho,33.63589402211076,29.469658533432224,29.80333333333333,1131.3733666666665,28.830766304666366
"China, People's Republic",Illinois,122.4041901515903,5.226772348820557,119.1366666666667,14982.785766666677,5.407341635322794
"China, People's Republic",Indiana,92.45568614206483,13.071853003816003,75.05,8548.0539,17.302998030330286
"China, People's Republic",Iowa,40.94195118294518,11.458169851303367,30.070000000000004,1676.2433666666666,18.223420407839104
"China, People's Republic",Kansas,29.69661524390354,12.509095051006684,28.262777777777767,881.8889569444441,12.837153563647064
"China, People's Republic",Kentucky,28.27061194951393,8.568830879068734,23.936666666666667,799.2274999999998,10.668155452646765
"China, People's Republic",Louisiana,57.260705258201874,22.590974413424743,49.65666666666667,3278.7883666666676,23.371716431919133
"China, People's Republic",Maine,31.754859470638504,24.554270562018324,25.73,1008.3710999999998,33.78176539429628
"China, People's Republic",Maryland,166.16618237976908,11.275647739018451,159.37000000000003,27611.200166666677,11.510010324158559
"China, People's Republic",Massachusetts,151.09747560212023,4.760134023570242,121.0666666666666,22830.447133333317,5.937810149415257
"China, People's Republic",Michigan,61.055362854816764,6.648430809857421,56.09333333333336,3727.7573333333385,7.047560160232792
"China, People's Republic",Minnesota,104.08093405294424,18.90100651109442,95.61666666666663,10832.840833333328,19.06244213423887
"China, People's Republic",Mississippi,13.199211764305462,7.717180143851126,11.219880952380953,174.2191911989797,9.29521955232779
"China, People's Republic",Missouri,87.75106115217831,16.39120783528456,67.9066666666667,7700.248733333338,20.582735219431974
"China, People's Republic",Montana,12.800226560494936,28.765747028793783,12.486666666666666,163.84580000000003,27.429056915346294
"China, People's Republic",Nebraska,13.88711153072037,10.842722976360355,12.26,192.85186666666664,12.110853079116602
"China, People's Republic",Nevada,134.83265227131932,13.390985233923978,102.48888888888887,18179.844118518507,19.116160529960204
"China, People's Republic",New Hampshire,26.583933744525723,18.728453973097135,24.986666666666668,706.7055333333334,19.74054485979633
"China, People's Republic",New Jersey,217.44580167634118,8.836722780022493,198.26000000000008,47282.676666666695,9.425479049689692
"China, People's Republic",New Mexico,22.86880644750253,18.63689335084172,21.741666666666664,522.9823083333332,19.714488316812524
"China, People's Republic",New York,4909.321414951358,26.38226772044642,4747.096666666667,24101436.7553,25.529935074024635
"China, People's Republic",North Carolina,115.40679471619804,12.24688955322196,112.92000000000003,13318.728266666674,12.471915855496905
"China, People's Republic",North Dakota,14.730780840358285,34.18667214003082,14.053333333333333,216.99590416666675,35.928733756971425
"China, People's Republic",Ohio,135.88884415825558,14.732229251458298,134.25,18465.77796666667,14.023616528199751
"China, People's Republic",Oklahoma,26.348497110841073,11.292573859248366,23.46333333333334,694.2433000000004,11.976589595836852
"China, People's Republic",Oregon,37.4802054423398,5.163793539904197,36.239999999999974,1404.765799999998,5.4214376242535876
"China, People's Republic",Pennsylvania,276.170007422964,12.62626625183981,268.1133333333333,76269.87299999999,12.939403752442477
"China, People's Republic",Rhode Island,57.146318918502395,33.087295938139015,51.85949999999999,3265.7017659351845,37.678891594616964
"China, People's Republic",South Carolina,18.819451816316725,6.882614470929663,18.01000000000001,354.1717666666668,7.201320848080379
