Country,State,RMSE,MAPE%,MAE,MSE,CVRMSE%
"China, People's Republic",Alabama,62.60673765658134,22.369664979652875,50.60666666666666,3919.6036,24.713185917071577
"China, People's Republic",Alaska,9.506294405988765,14.022946859878399,8.90333333333333,90.3696333333333,14.931352470139423
"China, People's Republic",Arizona,77.99077948973625,12.197190893022665,63.08249999999998,6082.561685416665,13.960163393150882
"China, People's Republic",Arkansas,11.150655353602085,7.094319745436732,9.665555555555557,124.33711481481483,8.11940923805977
"China, People's Republic",California,4709.320379711565,14.742407790109413,3870.15,22177698.438766673,18.734615824130028
"China, People's Republic",Colorado,63.95839096631498,6.083658084083924,43.73166666666668,4090.6757750000015,10.484982125625407
"China, People's Republic",Connecticut,122.68100246846153,18.545978839076284,103.30333333333333,15050.628366666664,20.864116066064888
"China, People's Republic",Delaware,53.54578601533458,23.37002632352517,42.57333333333333,2867.1512000000002,31.935856470378475
"China, People's Republic",District of Columbia,126.67140087644093,63.05299153815164,108.27333333333333,16045.643799999998,77.39596794894558
"China, People's Republic",Florida,282.3945495814914,13.506160814634413,262.65666666666675,79746.68163333338,14.746451675273702
"China, People's Republic",Georgia,181.257004002604,12.625442943368432,152.5766666666667,32854.1015,15.146824847014258
"China, People's Republic",Hawaii,150.1755858986407,26.03123647712865,149.15333333333334,22552.706600000005,25.112974230541923
"China, People's Republic",Idaho,32.83090718616631,28.88525019803228,29.333333333333332,1077.8684666666666,28.140777588142544
"China, People's Republic",Illinois,118.70054619363242,4.889033652892244,113.03999999999996,14089.819666666663,5.243729032261777
"China, People's Republic",Indiana,92.55295295127003,13.073105203179262,75.07000000000001,8566.049100000004,17.32120142568996
"China, People's Republic",Iowa,40.535523515389144,10.837683031864952,28.98,1643.1286666666665,18.042517885188047
"China, People's Republic",Kansas,30.228630912627384,13.076516581021908,29.331666666666667,913.7701268518518,13.067131518426823
"China, People's Republic",Kentucky,29.764601458779868,8.96443466172055,24.890000000000004,885.9315000000006,11.231925078784856
"China, People's Republic",Louisiana,58.03626251462672,23.049173672460057,50.416666666666664,3368.2077666666664,23.688270414133356
"China, People's Republic",Maine,30.470375777138024,24.202593003229147,25.09333333333333,928.4437999999997,32.41529337993407
"China, People's Republic",Maryland,167.81304279862556,11.21799318481132,159.65333333333334,28161.217333333334,11.624085162684752
"China, People's Republic",Massachusetts,137.82836718179607,4.411025811916329,110.0333333333333,18996.6588,5.416362346677865
"China, People's Republic",Michigan,61.87861073639797,7.237073985871111,59.626666666666665,3828.9624666666655,7.142586849141742
"China, People's Republic",Minnesota,114.02162163379364,20.88717616698844,105.21999999999998,13000.930199999997,20.88308088531019
"China, People's Republic",Mississippi,11.370913551689677,6.6325356301155285,9.685000000000002,129.29767499999994,8.007685599781462
"China, People's Republic",Missouri,85.39434505086776,16.173925293687923,67.06333333333332,7292.194166666662,20.02994801818634
"China, People's Republic",Montana,11.123731388342671,25.313525749798195,11.006666666666666,123.73739999999997,23.836567260734295
"China, People's Republic",Nebraska,14.666269091833618,10.68441260263827,11.979444444444445,215.0994490740741,12.790350952180479
"China, People's Republic",Nevada,128.80574475341336,13.335350391271838,101.15111111111109,16590.919881481477,18.261684038763708
"China, People's Republic",New Hampshire,24.996917810002095,16.906130526403974,22.889999999999997,624.8458999999999,18.56206768069463
"China, People's Republic",New Jersey,205.1908079487643,8.370131092705586,188.84,42103.267666666674,8.894269958767417
"China, People's Republic",New Mexico,21.14616434880488,14.822675503256564,18.399999999999995,447.1602666666665,18.229452024831794
"China, People's Republic",New York,7012.928019341612,34.93211571949736,6790.633333333332,49181159.40446666,36.46931660806191
"China, People's Republic",North Carolina,112.9988272800504,11.861870609522619,109.88333333333333,12768.734966666663,12.211688827094784
"China, People's Republic",North Dakota,15.269199450261034,33.884364167035734,14.213333333333333,233.1484518518519,37.241949878685446
