Country,State,MAE,MAPE,pred2023,data2021,pred2021
India,Wyoming,1.297857998,0.185408285,2,[7],5
Dominican Republic,Alabama,25.12786694,0.761450513,410,[33],58
Dominican Republic,Alaska,64.72906002,2.942230001,103,[22],86
Dominican Republic,Arizona,2.146094489,0.029806868,79,[72],69
Dominican Republic,Arkansas,0.79868928,0.072608116,5,[11],10
Dominican Republic,California,199.6600821,1.692034594,1346,[118],317
Dominican Republic,Colorado,10.30219474,0.303005728,301,[34],44
Dominican Republic,Connecticut,310.6212856,0.631344076,436,[492],802
Dominican Republic,Delaware,24.91644933,0.479162487,216,[52],76
Dominican Republic,District of Columbia,16.97244665,0.458714774,40,[37],53
Dominican Republic,Florida,2185.215216,0.860659794,4905,[2539],4724
Dominican Republic,Georgia,546.1700451,2.007978107,126220,[272],818
Dominican Republic,Hawaii,1.571709014,7.07835E+15,2,[0],1
Dominican Republic,Idaho,13.28933368,3.322333419,16,[4],17
Dominican Republic,Illinois,56.45647235,0.548121091,131,[103],159
Dominican Republic,Indiana,26.14486581,0.396134331,131,[66],92
Dominican Republic,Iowa,2.459051775,0.094578914,13,[26],23
Dominican Republic,Kansas,11.79842048,1.179842048,3,[10],21
Dominican Republic,Kentucky,23.15500908,1.362059358,63,[17],40
Dominican Republic,Louisiana,211.3847759,2.818463679,135,[75],286
Dominican Republic,Maine,6.856123323,3.09E+16,11,[0],6
Dominican Republic,Maryland,219.3638449,0.797686709,1200,[275],494
Dominican Republic,Massachusetts,4832.341487,2.433203166,46511,[1986],6818
Dominican Republic,Michigan,209.6672378,1.747226981,397,[120],329
Dominican Republic,Minnesota,5.09915489,0.064546264,2239,[79],73
Dominican Republic,Mississippi,22.52788703,1.023994865,169,[22],44
Dominican Republic,Missouri,32.24417317,1.240160506,123,[26],58
Dominican Republic,Montana,2.277388425,1.03E+16,4,[0],2
Dominican Republic,Nebraska,5.351848746,0.267592437,8,[20],14
Dominican Republic,Nevada,49.93445038,1.468660305,546,[34],83
Dominican Republic,New Hampshire,90.80097774,0.840749794,251,[108],198
Dominican Republic,New Jersey,6641.638533,1.647231779,44826,[4032],10673
Dominican Republic,New Mexico,4.231542182,0.528942773,13,[8],12
Dominican Republic,New York,9408.814846,1.042066103,13633,[9029],18437
Dominican Republic,North Carolina,599.5145275,1.879355886,92202,[319],918
Dominican Republic,North Dakota,46.61369599,5.826711999,623,[8],54
Dominican Republic,Ohio,314.4468173,1.828179171,18892,[172],486
Dominican Republic,Oklahoma,9.454581663,0.411068768,29,[23],32
Dominican Republic,Oregon,8.00927374,0.889919304,8,[9],17
Dominican Republic,Pennsylvania,3631.849374,1.805991733,6763,[2011],5642
Dominican Republic,Rhode Island,979.1722868,1.858011929,1111,[527],1506
Dominican Republic,South Carolina,13.33157604,0.193211247,59,[69],82
Dominican Republic,South Dakota,2.438874514,0.609718628,4,[4],6
Dominican Republic,Tennessee,95.6795547,1.51872309,1405,[63],158
Dominican Republic,Texas,293.1725096,0.954959315,615,[307],600
Dominican Republic,Utah,3.626956877,0.064767087,61,[56],59
Dominican Republic,Vermont,5.576458406,0.929409734,0,[6],0
Dominican Republic,Virginia,112.1282221,0.651908268,684,[172],284
Dominican Republic,Washington,7.282493467,0.177621792,36,[41],48
Dominican Republic,West Virginia,32.89177042,1.48E+17,31,[0],32
Dominican Republic,Wisconsin,43.28113472,0.801502495,94,[54],97
Dominican Republic,Wyoming,0.348708547,0.116236182,2,[3],3
Mexico,Alabama,416.7912332,1.290375335,734,[323],739
Mexico,Alaska,5.787724577,0.175385593,18,[33],38
Mexico,Arizona,1060.951533,0.154680206,8183,[6859],7919
Mexico,Arkansas,275.5358747,0.451698155,626,[610],885
Mexico,California,5760.634009,0.181637522,17394,[31715],37475
Mexico,Colorado,1089.545417,0.3479864,46,[3131],4220
Mexico,Connecticut,57.22868253,0.231695071,282,[247],189
Mexico,Delaware,96.15372892,0.794658917,194,[121],217
Mexico,District of Columbia,22.45983574,0.335221429,44,[67],89
