Country,State,MAE,MAPE,pred2023,data2019,pred2019
China,Alabama,50.44150360309746,0.32754223118894454,[210.14848743],[154],[204.4415036]
China,Alaska,2.493664953548535,0.07556560465298591,[3.38685905],[33],[30.50633505]
China,Arizona,24.387745985657887,0.04897137748124074,[418.00510907],[498],[473.61225401]
China,Arkansas,5.567291445998791,0.06326467552271353,[92.49447216],[88],[93.56729145]
China,California,531.0821861413933,0.02458258591656144,[23722.09175404],[21604],[22135.08218614]
China,Colorado,20.010340482142794,0.038779729616555805,[384.07881371],[516],[495.98965952]
China,Connecticut,8.03267317916243,0.02043937195715631,[190.35703845],[393],[401.03267318]
China,Delaware,40.02114747244978,0.27041315859763365,[60.15387872],[148],[107.97885253]
China,District of Columbia,51.66946388302233,0.5939018837129003,[162.72014293],[87],[138.66946388]
China,Florida,120.15657475899116,0.06998053276586555,[1498.94882561],[1717],[1596.84342524]
China,Georgia,12.276627414673612,0.012501657245085144,[998.92676048],[982],[969.72337259]
China,Hawaii,135.61458321792827,0.2302454723564147,[93.95081472],[589],[453.38541678]
China,Idaho,7.959905830084352,0.06861987784555476,[93.25525523],[116],[108.04009417]
China,Illinois,67.97873057245147,0.03447197290692265,[1899.04828423],[1972],[1904.02126943]
China,Indiana,59.55297002219851,0.15671834216368027,[430.7048001],[380],[439.55297002]
China,Iowa,16.688308707284676,0.09816652180755692,[285.63678582],[170],[186.68830871]
China,Kansas,21.05786532153499,0.12534443643770826,[75.22365172],[168],[189.05786532]
China,Kentucky,28.291316766733672,0.18370984913463423,[21.05679051],[154],[182.29131677]
China,Louisiana,2.772289645214272,0.015149123744340284,[191.64914672],[183],[185.77228965]
China,Maine,10.12460232584636,0.21541707076268854,[7.55691116],[47],[57.12460233]
China,Maryland,126.31491592843827,0.11109491286582082,[1588.20852827],[1137],[1263.31491593]
China,Massachusetts,141.8423771464677,0.0668752367498669,[2478.01599995],[2121],[2262.84237715]
China,Michigan,63.21763392250364,0.0828540418381437,[7548.77681549],[763],[699.78236608]
China,Minnesota,45.76050107070898,0.09613550645106929,[30.53508865],[476],[430.23949893]
China,Mississippi,10.915320562895815,0.139940007216613,[122.53054039],[78],[88.91532056]
China,Missouri,32.8956424368061,0.09087194043316602,[314.52757495],[362],[329.10435756]
China,Montana,26.388350522417376,1.055534020896695,[59.94686892],[25],[51.38835052]
China,Nebraska,12.616564389796125,0.12491647910689233,[110.32154922],[101],[113.61656439]
China,Nevada,17.30641744107527,0.025869084366330744,[1834.75035074],[669],[651.69358256]
China,New Hampshire,8.776700784451819,0.11548290505857657,[30.94065371],[76],[84.77670078]
China,New Jersey,253.55571401344196,0.1298953452937715,[3003.81164391],[1952],[2205.55571401]
China,New Mexico,12.588025637703652,0.1498574480679006,[212.85022631],[84],[96.58802564]
China,New York,2555.6162784620137,0.20031480470779225,[18567.57104126],[12758],[15313.61627846]
China,North Carolina,90.12553233716994,0.13214887439467735,[816.33563254],[682],[772.12553234]
China,North Dakota,3.1996232397781483,0.0864763037777878,[1.13449437],[37],[33.80037676]
China,Ohio,77.39559191755131,0.10278299059435765,[988.30570866],[753],[830.39559192]
China,Oklahoma,2.000337731408507,0.011496193858669582,[189.4174864],[174],[176.00033773]
China,Oregon,28.74127185772636,0.04806232752128154,[512.96603689],[598],[626.74127186]
China,Pennsylvania,327.47170792935935,0.21860594654830398,[2045.99982815],[1498],[1825.47170793]
China,Rhode Island,8.849124462278056,0.09314867855029532,[46.55659887],[95],[103.84912446]
China,South Carolina,104.4982278725343,0.7572335353082196,[215.35503111],[138],[242.49822787]
China,South Dakota,7.078106447187114,0.27223486335335056,[0.00312178],[26],[18.92189355]
China,Tennessee,2.732266855826481,0.00833008187751976,[312.46631236],[328],[325.26773314]
China,Texas,42.821975415671204,0.014026195681516935,[16627.24938936],[3053],[3095.82197542]
China,Utah,12.605093030228346,0.05386791893259977,[254.90183246],[234],[246.60509303]
China,Vermont,36.29370445753768,1.634523138708616e+17,[1981.97055248],[0],[36.29370446]
China,Virginia,116.97860839907798,0.11302281004741835,[515.40136004],[1035],[918.0213916]
China,Washington,345.1219429038938,0.1458056370527646,[89645.55935249],[2367],[2712.1219429]
China,West Virginia,6.0239938278397105,0.11155544125629094,[3.72321382],[54],[47.97600617]
China,Wisconsin,50.7616887957339,0.12851060454616178,[184.39812773],[395],[344.2383112]
China,Wyoming,31.11030627052982,1.637384540554201,[60.34604468],[19],[50.11030627]
India,Alabama,21.46019943569854,0.06330442311415499,[337.91902646],[339],[317.53980056]
India,Alaska,8.99294649359664,0.7494122077997201,[20.72184294],[12],[20.99294649]
India,Arizona,168.9591958180239,0.2533121376582067,[2231906.86932853],[667],[835.95919582]
India,Arkansas,95.60137049616071,0.5901319166429674,[27257.72637324],[162],[257.6013705]
India,California,2916.4441152495456,0.24820800980847196,[20928.32781313],[11750],[14666.44411525]
India,Colorado,161.23818583060165,0.4417484543304155,[516.0203729],[365],[526.23818583]
India,Connecticut,375.841420675966,0.6003856560318945,[1376.65407507],[626],[1001.84142068]
India,Delaware,73.56877818249319,0.3892527946163661,[167.61840769],[189],[262.56877818]
India,District of Columbia,10.118645174533938,0.23531732964032415,[17.68854742],[43],[53.11864517]
India,Florida,60.78733674118939,0.028273179879622974,[12806161.09012611],[2150],[2210.78733674]
India,Georgia,392.2777725505289,0.15431855725827257,[19025.07253437],[2542],[2934.27777255]
India,Hawaii,4.9715088247643635,0.3107193015477727,[17.8267236],[16],[20.97150882]
India,Idaho,7.579566459465745,0.16477318390142925,[12770410.84352749],[46],[38.42043354]
India,Illinois,864.2826154736031,0.24061320029888728,[3713.74097897],[3592],[4456.28261547]
India,Indiana,129.43474437560678,0.18490677767943825,[4099.97806057],[700],[829.43474438]
India,Iowa,134.25672240335177,0.7417498475323302,[11949.28323375],[181],[315.2567224]
India,Kansas,112.61611611606764,0.5958524662225801,[3560.14461895],[189],[301.61611612]
India,Kentucky,91.6374375920442,0.37403035751854774,[3034.31116222],[245],[336.63743759]
India,Louisiana,18.078057622899706,0.11893458962434017,[167.77450567],[152],[170.07805762]
India,Maine,17.79233332698071,0.6135287354131279,[37.29261646],[29],[46.79233333]
India,Maryland,416.2932485264696,0.3674256385935301,[2167.55156721],[1133],[1549.29324853]
India,Massachusetts,812.5394568120187,0.648993176367427,[515839.76184147],[1252],[2064.53945681]
India,Michigan,323.7278292096928,0.25795046152166756,[3278.5091434],[1255],[1578.72782921]
India,Minnesota,102.43162761605959,0.1588087249861389,[1329.71981781],[645],[542.56837238]
India,Mississippi,2.1680733451061087,0.01298247512039586,[68.76288636],[167],[164.83192665]
India,Missouri,107.59545275356379,0.31007335087482363,[58631.19201203],[347],[454.59545275]
India,Montana,5.664366351515472,0.4045975965368194,[6.29859923],[14],[8.33563365]
India,Nebraska,68.7146434881395,0.6246785771649046,[1152.99593383],[110],[178.71464349]
India,Nevada,36.170331989568325,0.19657789124765393,[949.64011617],[184],[220.17033199]
India,New Hampshire,73.48712282269776,0.6023534657598176,[218.31711271],[122],[195.48712282]
India,New Jersey,1350.4980016779218,0.23216400235137044,[205438.83566519],[5817],[7167.49800168]
India,New Mexico,24.17409566753699,0.37772024480526545,[185.08390053],[64],[88.17409567]
India,New York,496.8325371544124,0.13033382401742194,[2590.08287235],[3812],[4308.83253715]
India,North Carolina,734.2254836698089,0.5925952249151,[18212.28736155],[1239],[1973.22548367]
India,North Dakota,8.9774123917135,0.27204279974889395,[46.25316663],[33],[41.97741239]
India,Ohio,260.0812779693572,0.1997552058136384,[49052.41119496],[1302],[1562.08127797]
India,Oklahoma,40.130313709143195,0.20267835206637977,[400.0014433],[198],[238.13031371]
India,Oregon,62.829147088156674,0.11592093558700493,[8219.20342525],[542],[479.17085291]
India,Pennsylvania,516.3079706511285,0.24492787981552583,[1652.91289203],[2108],[2624.30797065]
India,Rhode Island,31.14986382042879,0.44499805457755415,[1564.58553728],[70],[101.14986382]
India,South Carolina,97.28157667130898,0.2895285019979434,[2397.98332972],[336],[433.28157667]
India,South Dakota,26.65850394385422,1.568147290814954,[2589.84322602],[17],[43.65850394]
India,Tennessee,89.63191625552736,0.14364089143514,[505850.57429856],[624],[713.63191626]
India,Texas,2396.2010217901416,0.49284266182438125,[28294.62139058],[4862],[7258.20102179]
India,Utah,9.765939520035232,0.06781902444468911,[2.02467532e+11],[144],[153.76593952]
India,Vermont,15.749564434432223,0.7499792587824868,[120.62904081],[21],[36.74956443]
India,Virginia,1256.4572152747355,0.8158813086199581,[5518.70866821],[1540],[2796.45721527]
India,Washington,664.6407842370056,0.3385841998150818,[1820.28813383],[1963],[1298.35921576]
India,West Virginia,25.3891367906267,0.35262689986981527,[49.37339205],[72],[46.61086321]
India,Wisconsin,127.64759840442616,0.2862053775883995,[16298.44679349],[446],[573.6475984]
India,Wyoming,6.332667537295283,0.9046667910421833,[5.11198841],[7],[13.33266754]
Dominican Republic,Alabama,3.9289192668277053,0.0818524847255772,[647.6724587],[48],[44.07108073]
Dominican Republic,Alaska,12.640379287559952,0.14871034455952886,[97.23918326],[85],[72.35962071]
Dominican Republic,Arizona,9.384441110114068,0.1054431585406075,[511.94377747],[89],[79.61555889]
Dominican Republic,Arkansas,10.86488499492133,0.8357603842247177,[5.85947828],[13],[23.86488499]
Dominican Republic,California,18.204536891799222,0.09012146976138229,[3.84621737],[202],[220.20453689]
Dominican Republic,Colorado,15.018718271906465,0.42910623634018474,[931.57366872],[35],[50.01871827]
Dominican Republic,Connecticut,147.73976595561453,0.1526237251607588,[69.71989919],[968],[820.26023404]
Dominican Republic,Delaware,0.6309474209511095,0.01106925299914227,[21.92346444],[57],[57.63094742]
Dominican Republic,District of Columbia,6.708837336457066,0.09584053337795809,[241.79703524],[70],[76.70883734]
Dominican Republic,Florida,569.0144207440089,0.13322744573730014,[4091.31453847],[4271],[3701.98557926]
Dominican Republic,Georgia,27.329812739597855,0.06239683273880789,[524.68078263],[438],[410.67018726]
Dominican Republic,Hawaii,4.440722540197807,1.999923637729061e+16,[4.50988973],[0],[4.44072254]
Dominican Republic,Idaho,6.9943786917634485,0.7771531879737165,[10.68043869],[9],[2.00562131]
Dominican Republic,Illinois,39.54103916372685,0.20277455981398385,[315.37189665],[195],[155.45896084]
Dominican Republic,Indiana,2.2927260450957334,0.020289611018546313,[2131.08172286],[113],[110.70727395]
Dominican Republic,Iowa,7.523565252145023,0.3009426100858009,[15.3432946],[25],[17.47643475]
Dominican Republic,Kansas,5.514324266085868,0.3676216177390579,[0.85787463],[15],[20.51432427]
Dominican Republic,Kentucky,7.840662915646799,0.26135543052155996,[13.87183422],[30],[22.15933708]
Dominican Republic,Louisiana,36.11715103168211,0.16342602276779236,[0.04562501],[221],[257.11715103]
Dominican Republic,Maine,1.2270782045669444,0.13634202272966048,[0.08666293],[9],[7.7729218]
Dominican Republic,Maryland,182.4154374256255,0.39483860914637553,[2.61941421],[462],[279.58456257]
Dominican Republic,Massachusetts,1164.7619766353773,0.25365025623592713,[1.52610374],[4592],[3427.23802336]
Dominican Republic,Michigan,20.401667520550546,0.16191799619484562,[133.14781941],[126],[146.40166752]
Dominican Republic,Minnesota,19.604415746518747,0.2613922099535833,[114.61012655],[75],[55.39558425]
Dominican Republic,Mississippi,6.788753305575042,0.15086118456833428,[2.54157701],[45],[38.21124669]
Dominican Republic,Missouri,10.617375652985316,0.22590160963798545,[154.09317648],[47],[57.61737565]
Dominican Republic,Montana,2.358585231978422,0.4717170463956844,[2.21418446],[5],[2.64141477]
Dominican Republic,Nebraska,2.2860722787346326,0.16329087705247375,[45.91905643],[14],[16.28607228]
Dominican Republic,Nevada,17.225786848505862,0.25710129624635614,[13.04051587],[67],[49.77421315]
Dominican Republic,New Hampshire,63.50650083319519,0.27024042907742635,[74.17111004],[235],[171.49349917]
Dominican Republic,New Jersey,1502.8916540685068,0.19434781508709514,[9.25734445],[7733],[6230.10834593]
Dominican Republic,New Mexico,7.87629834784296,0.43757213043572,[21.05914548],[18],[10.12370165]
Dominican Republic,New York,2766.7025035096303,0.13259381306956916,[35.65313688],[20866],[18099.29749649]
Dominican Republic,North Carolina,50.861223385346705,0.10233646556407788,[341.7886428],[497],[446.13877661]
Dominican Republic,North Dakota,7.1600393821033865,1.7900098455258466,[2.85100273],[4],[11.16003938]
Dominican Republic,Ohio,36.383287350466844,0.12250265101167288,[202.42402847],[297],[260.61671265]
Dominican Republic,Oklahoma,10.164794102508523,0.5647107834726958,[4.0565921],[18],[28.1647941]
Dominican Republic,Oregon,4.832397829457012,0.2684665460809451,[3.85151553],[18],[22.83239783]
Dominican Republic,Pennsylvania,503.9806494425957,0.1422468669044865,[0.08782923],[3543],[3039.01935056]
Dominican Republic,Rhode Island,67.20052802564692,0.06032363377526653,[697.93873108],[1114],[1181.20052803]
Dominican Republic,South Carolina,37.61664285175243,0.4949558269967425,[4.57436098],[76],[113.61664285]
Dominican Republic,South Dakota,3.081217599082486,0.4401739427260694,[4.87074408],[7],[3.9187824]
Dominican Republic,Tennessee,17.712148462522947,0.19901290407329153,[2.6577056],[89],[71.28785154]
Dominican Republic,Texas,49.217806563833335,0.11160500354610733,[3.95690597],[441],[391.78219344]
Dominican Republic,Utah,1.9349272153738113,0.03224878692289686,[248.38963144],[60],[61.93492722]
Dominican Republic,Vermont,4.6793089643978405,0.467930896439784,[9.38733455],[10],[5.32069104]
Dominican Republic,Virginia,19.473309480888986,0.080802114028585,[2007.79710085],[241],[260.47330948]
Dominican Republic,Washington,10.907333840841773,0.19831516074257768,[8.5402154],[55],[44.09266616]
Dominican Republic,West Virginia,0.7043285118854268,0.0782587235428252,[9.33492068],[9],[8.29567149]
Dominican Republic,Wisconsin,5.923202398737999,0.06301279147593616,[77.68022268],[94],[88.0767976]
Dominican Republic,Wyoming,5.037063773307268,2.2684918532508036e+16,[3.71740336],[0],[5.03706377]
Mexico,Alabama,0.43641200092196186,0.0008607731773608715,[394.77703132],[507],[506.563588]
Mexico,Alaska,5.6991018678699845,0.07401430997233746,[6.11360525],[77],[71.30089813]
Mexico,Arizona,195.8483658948462,0.02298689740549838,[7485.07191657],[8520],[8324.15163411]
Mexico,Arkansas,18.52437131221575,0.02079054019328367,[1.72664631e-05],[891],[872.47562869]
Mexico,California,3401.0332818879033,0.07126313843662448,[2778.08126542],[47725],[51126.03328189]
Mexico,Colorado,369.64663281606454,0.08711916870517665,[2005.45009017],[4243],[3873.35336718]
Mexico,Connecticut,72.41890917072783,0.27960968791786805,[137.89773993],[259],[331.41890917]
Mexico,Delaware,36.49642652648805,0.1771671190606216,[230.15188857],[206],[169.50357347]
Mexico,District of Columbia,4.018324417707063,0.04367743932290286,[31.90316144],[92],[87.98167558]
Mexico,Florida,244.08439903242197,0.061005848296031485,[1726.03490718],[4001],[3756.91560097]
Mexico,Georgia,338.59909888828724,0.10101405098099261,[2773.02512813],[3352],[3013.40090111]
Mexico,Hawaii,25.873046043223354,0.34043481635820205,[104.73724743],[76],[101.87304604]
Mexico,Idaho,32.91024253283342,0.04471500344134976,[637.80814194],[736],[703.08975747]
Mexico,Illinois,960.6236311496268,0.1063224826950334,[6497.60901807],[9035],[8074.37636885]
Mexico,Indiana,142.9933444435726,0.09195713469040039,[0.00017429],[1555],[1697.99334444]
Mexico,Iowa,40.65841418974833,0.05370992627443637,[56.52280118],[757],[797.65841419]
Mexico,Kansas,87.76342171444503,0.05808300576733622,[79.73072299],[1511],[1598.76342171]
Mexico,Kentucky,26.04870397081669,0.05737599993571958,[0.04364617],[454],[480.04870397]
Mexico,Louisiana,121.4837609498922,0.23272751139826092,[7.15128958e-05],[522],[400.51623905]
Mexico,Maine,7.148174853316657,0.7148174853316658,[17.02265578],[10],[17.14817485]
Mexico,Maryland,18.082766089350116,0.03872112652965764,[0.03991159],[467],[485.08276609]
Mexico,Massachusetts,20.744337756170523,0.0813503441418452,[579.61379478],[255],[275.74433776]
Mexico,Michigan,21.939421158721416,0.014924776298449943,[1514.2762399],[1470],[1448.06057884]
Mexico,Minnesota,239.00075761405628,0.1466262316650652,[4.32712239],[1630],[1390.99924239]
Mexico,Mississippi,31.57075570741577,0.11038725771823696,[4.88781509],[286],[254.42924429]
Mexico,Missouri,78.23928912245412,0.11505777812125606,[70.29938776],[680],[758.23928912]
Mexico,Montana,1.723203182111412,0.03191117003910022,[2.73546377],[54],[52.27679682]
Mexico,Nebraska,24.280542709589326,0.029610417938523568,[294.76886976],[820],[844.28054271]
Mexico,Nevada,315.73919049514143,0.10591720580179183,[0.00089283],[2981],[2665.2608095]
Mexico,New Hampshire,5.582816597626987,0.07753911941148593,[67.84867355],[72],[66.4171834]
Mexico,New Jersey,0.5567498722234632,0.0005029357472660011,[946.73284679],[1107],[1107.55674987]
Mexico,New Mexico,511.27526450274604,0.22602796839201858,[1406.63866556],[2262],[1750.7247355]
Mexico,New York,164.79236044519712,0.06539379382745918,[2608.12541979],[2520],[2684.79236045]
Mexico,North Carolina,127.44207157637129,0.044435868750478134,[6117.57226018],[2868],[2740.55792842]
