Country,State,R2 Score,RMSE,MAPE
"China, People's Republic",Alabama,-1.5237387132277505,53.935419624898195,0.1402168455202418
"China, People's Republic",Alaska,-0.004141376481518799,23.661458176124174,0.3996019975150997
"China, People's Republic",Arizona,-0.6049325513692401,43.20136839734808,0.07392589762633651
"China, People's Republic",Arkansas,-0.2836170509436142,36.89064003556694,0.12435613297864528
"China, People's Republic",California,-0.09767569979394586,3319.5244258682624,0.13229338962761128
"China, People's Republic",Colorado,-0.15289660166165264,164.51098268851254,0.29333744399633915
"China, People's Republic",Connecticut,-0.10808894026572236,174.4881026452168,0.19522715412193628
"China, People's Republic",Delaware,-0.18098048906149167,67.39668686989872,0.21152778844091924
"China, People's Republic",District of Columbia,-0.9157219760509554,162.6429056593194,0.3983641508361275
"China, People's Republic",Florida,-2.29012220459714,191.18523849015867,0.07699770612461639
"China, People's Republic",Georgia,0.012965784455791773,94.71212325675396,0.06589021371445453
"China, People's Republic",Hawaii,-58.567317831477204,282.82908134914936,0.4763247073196986
"China, People's Republic",Idaho,0.31757011317109385,7.106321947768695,0.05450417385133662
"China, People's Republic",Illinois,-15.660900560226708,570.6739629942635,0.2363528255051536
"China, People's Republic",Indiana,-0.012293637391511902,12.331625997830512,0.020390964095380538
"China, People's Republic",Iowa,-0.2253420475033101,24.867434259287865,0.09174666538083598
"China, People's Republic",Kansas,-2.833662461061807,21.822604568726693,0.06637990464760136
"China, People's Republic",Kentucky,-0.18056046762751676,80.30735122804033,0.16951323375963975
"China, People's Republic",Louisiana,-2.2516757313053266,16.218028145624025,0.04649588918804032
"China, People's Republic",Maine,-0.015761330381253824,23.338247531133025,0.1914803321121167
"China, People's Republic",Maryland,-4.666354524654701,185.62115471999329,0.10212957967442023
"China, People's Republic",Massachusetts,-0.3626872188491512,215.26902434329028,0.05967988297146381
"China, People's Republic",Michigan,-0.24403474329910058,240.60897170789812,0.16431681281068822
"China, People's Republic",Minnesota,-0.02393856102890357,77.03879179754817,0.10862292757896341
"China, People's Republic",Mississippi,-9.76684609455485,22.785987909329044,0.14282717898273192
