Country,State,R2 Score,RMSE,MAPE
"China, People's Republic",Alabama,-1.9322259214812276,61.65076155247395,0.22097717591709584
"China, People's Republic",Alaska,0.8523915214619635,8.785376106538259,0.13681792040487697
"China, People's Republic",Arizona,-0.08213431504525559,85.58110491527042,0.1326058180729501
"China, People's Republic",Arkansas,0.7579602613160649,11.706762093068422,0.07922633406432748
"China, People's Republic",California,-6.282638648216608,4663.619088540572,0.14746268037163654
"China, People's Republic",Colorado,0.7265945488285575,64.15201572307245,0.07573378821471059
"China, People's Republic",Connecticut,0.5036100131807435,125.76685360883714,0.2001159528368062
"China, People's Republic",Delaware,-4.548604816112085,53.06811848935291,0.23350856133724066
"China, People's Republic",District of Columbia,-17.739314879649893,115.41910904756342,0.5688238762942711
"China, People's Republic",Florida,-5.819446370335982,279.904173245059,0.13298300959431586
"China, People's Republic",Georgia,-6.1923403903973355,185.88599068604748,0.12509065004629513
"China, People's Republic",Hawaii,0.06798811256122073,148.14734984692325,0.2548048758467832
"China, People's Republic",Idaho,-1.119043159609121,31.81133183840836,0.2808695179562691
"China, People's Republic",Illinois,0.6636085398676692,112.53883314956948,0.04344263189916039
"China, People's Republic",Indiana,-0.1908855514291803,93.24016927626562,0.13091426147210442
"China, People's Republic",Iowa,0.31369384842989434,39.97340657653952,0.11934936703839705
"China, People's Republic",Kansas,-0.016277674608430992,30.022081500723015,0.12766343729797017
"China, People's Republic",Kentucky,0.3147903677758319,27.97336947884541,0.08860244396388973
"China, People's Republic",Louisiana,-0.185253878994877,56.9113676401004,0.2259576481308859
"China, People's Republic",Maine,0.18341920447482896,29.595928774072966,0.23339384883968575
"China, People's Republic",Maryland,-0.7212205309488091,157.23865364470663,0.10484046492761134
"China, People's Republic",Massachusetts,0.3649564078613693,129.20754789614008,0.042335236709821915
"China, People's Republic",Michigan,0.8659535333465268,61.34315120696035,0.0680486230975708
"China, People's Republic",Minnesota,-0.6848624728555908,111.41843070156747,0.2037912805772132
"China, People's Republic",Mississippi,-2.3780468750000034,13.753931256189999,0.07781162327460449
"China, People's Republic",Missouri,-20.70025911475411,85.7553304465676,0.15876811227349177
"China, People's Republic",Montana,0.21186052631578944,9.652750903239966,0.21751386530843234
"China, People's Republic",Nebraska,-0.9624133912999173,13.355207698719097,0.1033644772917714
"China, People's Republic",Nevada,-1.3441257469955339,131.8386588052061,0.13520099916530492
"China, People's Republic",New Hampshire,0.33916809093073075,24.83794073589838,0.1684423339127238
"China, People's Republic",New Jersey,-0.02469266668963188,199.1491604300655,0.0797939348116145
"China, People's Republic",New Mexico,0.6270585949973388,21.61414505981365,0.15486098071153767
"China, People's Republic",New York,-3.2328291780855354,6823.265224949123,0.35005604689501274
