Country,State,RMSE,MAPE%,MAE,MSE,CVRMSE%
"China, People's Republic",Alabama,46.2152305391094,12.996216336751374,41.549618692344644,2135.84753378303,15.15253460298669
"China, People's Republic",Alaska,23.41256338657686,39.48883849489124,20.642995729917793,548.1481243304794,38.592137450401424
"China, People's Republic",Arizona,40.215255798099385,6.63220164851124,35.87616602201873,1617.266798906566,7.198434808729007
"China, People's Republic",Arkansas,34.81935413223859,12.998111977554483,24.006390468702733,1212.3874221862402,22.225119658875695
"China, People's Republic",California,3306.7750133738728,13.280404474281074,2581.74939254443,10934760.989073776,15.013961679513299
"China, People's Republic",Colorado,163.13486782789604,29.42930834814334,146.6984539630927,26612.985101225117,28.670451287855194
"China, People's Republic",Connecticut,167.42992841539845,20.280683172168278,144.51165690806917,28032.780929185454,25.380989653673343
"China, People's Republic",Delaware,74.93461900012659,36.44562751997207,68.33317263968796,5615.197124694132,39.096322956587784
"China, People's Republic",District of Columbia,159.20860191673592,40.02550648089178,120.21506178364432,25347.378924281686,66.52169996520999
"China, People's Republic",Florida,208.78793618720482,8.936379121909853,176.29475916012248,43592.402297312314,10.92939816020964
"China, People's Republic",Georgia,140.0420046289014,8.91343064341472,116.46940188200006,19611.763060481237,11.182486395706794
"China, People's Republic",Hawaii,101.4428399879687,16.663688783682304,96.95193998977341,10290.64978482462,17.030135420476
"China, People's Republic",Idaho,9.179804151915631,6.660664451427756,7.485467785804151,84.26880426752747,7.913624268892786
"China, People's Republic",Illinois,602.7506343546376,24.967020119461125,583.09841928674,363308.32721491804,25.35406482142334
"China, People's Republic",Indiana,17.216367039157998,2.6580773788741046,13.74236896281036,296.40329402700587,3.2710007040832165
"China, People's Republic",Iowa,23.743749133686705,8.378046023286558,18.8808213548058,563.7656229234482,10.74377788854602
"China, People's Republic",Kansas,17.013512227985387,4.914977882901055,13.306744369501113,289.4595983318083,6.485455741290491
"China, People's Republic",Kentucky,77.05403462254307,18.863455331820003,60.56138430165468,5937.324251612065,26.539851190313346
"China, People's Republic",Louisiana,16.008403804393065,5.545977286248146,15.127016757963835,256.26899236450635,5.878238851062326
"China, People's Republic",Maine,22.78147382400705,21.54523630155579,20.643470550229594,518.9955495939184,24.94321951533619
"China, People's Republic",Maryland,161.27675312569184,8.61275093923231,141.34621711491005,26010.191098765357,10.073501132148149
"China, People's Republic",Massachusetts,207.56949343342936,5.327030144382153,154.58570038838147,43085.09460421048,7.530638291211609
"China, People's Republic",Michigan,233.64936809727152,15.763820671438964,174.44031090734322,54592.02721225429,23.396131651929725
"China, People's Republic",Minnesota,76.31926761951685,11.617633968242425,68.84051049060243,5824.630609979434,13.452279838927764
"China, People's Republic",Mississippi,19.84709200549747,12.399949626489503,18.55933270449601,393.9070610746815,13.470876926808236
"China, People's Republic",Missouri,99.43643472753854,19.99843968099472,90.76791966593487,9887.604551324031,21.156688239901815
"China, People's Republic",Montana,9.607650536888684,16.946548767950713,8.915446729012055,92.30694883897742,18.24237443713041
"China, People's Republic",Nebraska,48.66516324013006,40.01300898531804,46.134022760634814,2368.2981131885067,39.99876430695621
"China, People's Republic",Nevada,88.3135655609054,13.301062160992009,73.613763079865,7799.285862080337,14.653799595282976
"China, People's Republic",New Hampshire,50.13621555003476,15.235907254472952,31.6860724237296,2513.6401096795475,31.20511341288471
"China, People's Republic",New Jersey,251.39505511793723,10.85735902373416,248.14950024232317,63199.4737377507,10.712857462412098
"China, People's Republic",New Mexico,34.22767169375047,22.938915102085065,30.335987573710558,1171.5335095751673,26.670913008117246
"China, People's Republic",New York,8223.685815674784,44.67689819582081,7591.224324376537,67629008.39493065,43.500824218049075
"China, People's Republic",North Carolina,158.5508829044868,12.907558456782356,138.14655625264922,25138.382469792286,15.718858186168552
"China, People's Republic",North Dakota,12.332573453174433,19.492021024049752,10.576907087419606,152.09236797794276,24.18151657485183
"China, People's Republic",Ohio,176.54640449181286,9.758766864633927,119.19336332830983,31168.6329389868,16.306626030647738
"China, People's Republic",Oklahoma,19.029293339741823,5.528968281847044,13.679707724019039,362.11400500994256,8.225919311127589
"China, People's Republic",Oregon,94.54317894355533,9.073476142503798,71.6850155679786,8938.412684753124,12.758863555135672
"China, People's Republic",Pennsylvania,259.7908086394788,10.859471358545651,232.12934518256657,67491.26425355431,12.422257346484482
"China, People's Republic",Rhode Island,47.090322449937496,18.709956712509594,35.068933405319,2217.4984684390874,29.248647484433228
"China, People's Republic",South Carolina,40.749940715633635,10.67808736349004,33.22692753402771,1660.5576683276558,13.76687186338974
"China, People's Republic",South Dakota,7.347687171175332,14.47629449682184,7.191713036587967,53.98850676545455,14.79400101578926
"China, People's Republic",Tennessee,94.77098984709693,10.992530305748643,65.09906212243935,8981.54051659855,18.236880663328467
"China, People's Republic",Texas,713.8244217881088,17.306986494909374,670.7208017824256,509545.3051411279,18.75852544993278
"China, People's Republic",Utah,28.878689970589516,9.961290825290282,22.93051222128105,833.9787344174274,11.536094528863988
"China, People's Republic",Vermont,11.024827757913652,27.516675177632987,8.763252968067613,121.54682709166337,27.33428369730657
"China, People's Republic",Virginia,89.70866541625125,6.130825233091208,73.10905036091292,8047.644650764913,7.219044963754123
"China, People's Republic",Washington,408.58203528123096,19.599832059709563,385.4581890469831,166939.27955455307,20.173569878928454
"China, People's Republic",West Virginia,19.744116606008838,14.792476306636763,13.898164442727515,389.830140551674,24.27555320410923
"China, People's Republic",Wisconsin,95.58429630535663,12.541820000338388,69.31304891294508,9136.357700190212,19.493738199596866
"China, People's Republic",Wyoming,5.095893120732764,11.924081153069455,4.136189097773923,25.968126697931506,15.760494187833288
Dominican Republic,Alabama,17.81505613866888,138.30252225776692,15.717361697834692,317.37622522392377,77.45676582029948
Dominican Republic,Alaska,18.804662743785062,30.15613839889039,15.970463798638258,353.6153409074979,26.239064293653573
Dominican Republic,Arizona,22.192569807108256,65.52765650949785,17.068502227396124,492.510154643373,51.61062745839129
Dominican Republic,Arkansas,6.813053333125086,3184677033324.826,6.176811190338274,46.41769572000684,72.99699999776877
Dominican Republic,California,79.98176334531443,51.85330046556595,73.11819883682433,6397.082467825884,44.18881952779803
Dominican Republic,Colorado,15.49610666786871,119.70191195334591,12.68163934585997,240.1293218619651,61.98442667147484
Dominican Republic,Connecticut,340.7768302903864,58.91064511087817,311.84494608451,116128.8480627628,44.48783685253086
Dominican Republic,Delaware,15.447792911411018,31.217616590440212,13.590324098380464,238.63430583384047,27.91769803267051
Dominican Republic,District of Columbia,30.7687878831951,69.22328532129966,26.806887263715282,946.7183078010536,49.627077230959834
Dominican Republic,Florida,1147.5212903772338,34.424612100879784,1015.5576092408501,1316805.1118690316,34.370645678231845
Dominican Republic,Georgia,163.4231370089448,66.05097170632902,139.06323244886025,26707.121709844345,56.28810689171463
Dominican Republic,Hawaii,2.4896527388086045,1375215897881.518,1.9656727835646957,6.198370759857185,93.36197770532267
Dominican Republic,Idaho,3.53898626936546,44.5622090402651,3.4192657714993935,12.524423814757258,46.16069046998426
